#,Nome,Sq.,Under,R.,FM,FVMP,P,S
4871,Thuram,Inter,28,A,"10,33",89,,
2764,Martinez L.,Inter,28,A,"7,17",88,,
2097,Kean,Fiorentina,25,A,"5,17",87,2,
5544,David,Juventus,25,A,"7,5",66,1,
6434,Yildiz,Juventus,20,A,"8,83",57,1,
2423,Pulisic,Milan,27,C,"7,67",54,2,
2167,Orsolini,Bologna,28,C,"7,17",54,1,
4777,McTominay,Napoli,29,C,"7,67",52,1,
632,Zaccagni,Lazio,30,C,"7,17",51,2,
6052,Hojlund,Napoli,22,A,10,50,2,
4510,Leao,Milan,26,A,0,50,3,
6226,Castellanos,Lazio,27,A,8,48,3,
2194,Calhanoglu,Inter,31,C,"9,25",45,1,
6365,Ferguson E.,Roma,21,A,"6,33",40,,
6875,Paz N.,Como,21,C,"9,17",39,3,
5734,Soulè,Roma,22,A,"7,17",38,1,
2517,De Bruyne,Napoli,34,C,"8,33",38,1,
6435,Krstovic,Atalanta,25,A,"7,17",37,,
5995,De Ketelaere,Atalanta,24,A,"8,5",37,2,
5800,Gudmundsson A.,Fiorentina,28,C,"6,25",37,,
531,Berardi,Sassuolo,31,A,"7,33",36,1,
2379,Rabiot,Milan,30,C,"6,5",36,1,
309,Dybala,Roma,32,A,"6,17",35,1,
6314,Openda,Juventus,25,A,6,34,1,
4728,Nkunku,Milan,28,A,0,33,3,
6572,Castro S.,Bologna,21,A,"6,5",31,,
2841,Vlahovic,Juventus,25,A,"8,33",30,1,
2531,Lukaku,Napoli,32,A,0,30,,
2137,Scamacca,Atalanta,26,A,8,28,1,
4730,Lookman,Atalanta,28,A,0,27,1,
5513,Dumfries,Inter,29,D,"7,33",26,,
7008,Gimenez,Milan,24,A,"5,17",25,,
785,Immobile,Bologna,35,A,6,25,3,
254,Dimarco,Inter,28,D,"6,67",23,1,
572,Meret,Napoli,28,P,6,23,2,
608,Zapata D.,Torino,34,A,0,22,,
5841,Svilar,Roma,26,P,6,21,1,
5876,Di Gregorio,Juventus,28,P,"5,17",21,3,
2038,Pinamonti,Sassuolo,26,A,"6,83",20,,
5672,Dia,Lazio,29,A,7,20,3,
4312,Maignan,Milan,30,P,"5,33",19,,
2428,Sommer,Inter,37,P,"3,67",19,,
2120,Bastoni,Inter,26,D,"7,5",19,,
4359,Piccoli,Fiorentina,24,A,"5,75",18,,
536,Politano,Napoli,32,C,7,18,1,
2160,Gosens,Fiorentina,31,D,"6,33",18,1,
313,Morata,Como,33,A,"5,67",18,3,
6884,Conceicao,Juventus,23,C,"6,25",18,2,
5761,Zhegrova,Juventus,26,C,0,17,,
